index,data_ocorrencia,modelo,registro,operador,local_acidente,numero_de_vitimas,ano,mes,mes_nome
0,2020-01-01 00:00:00,NEIVA P-56 PAULISTINHA,PP-ZCG,PRIVATE,"MONTE VERDE, MINAS GERAIS",0,2020,1,JANEIRO
1,31-DEC-2019,VAN'S RV-10,PT-ZAC,PRIVATE,"AEROPORTO DA SERRINHA, JUÍZ DE FORA, MG",0,2019,12,DEZEMBRO
2,23-DEC-2019,AERO BRAVO 700,PU-DAL,PRIVATE,"BONFINÓPOLIS, GOIÁS",0,2019,12,DEZEMBRO
3,21-DEC-2019,EMBRAER EMB-201A IPANEMA,PT-UAA,JAÍBA AVIAÇÃO AGRICOLA LTDA,"TUPACIGUARA, MINAS GERAIS",0,2019,12,DEZEMBRO
4,13-DEC-2019,ROBINSON R44 RAVEN II,PR-TOS,AEREO AGRÍCOLA FORNAGIERIE LTDA,"SÃO MANOEL DO PARANÁ, PARANÁ",0,2019,12,DEZEMBRO
5,02-DEC-2019,BEECHCRAFT C90GT KING AIR,PP-BSS,SETIMIO DE OLIVEIRA SALA,"SERRA DA CANTAREIRA, SP",1,2019,12,DEZEMBRO
6,2019-11-29 00:00:00,AIRBUS A319-132,PT-TMO,LATAM AIRLINES BRASIL,RÍO DE JANEIRO-SANTOS DUMONT,0,2019,11,NOVEMBRO
7,2019-11-28 00:00:00,AIRPLANE,,PRIVATE,"GUAÍRA, SP",0,2019,11,NOVEMBRO
8,2019-11-27 00:00:00,EMBRAER EMB-201A IPANEMA,PT-GRG,PRIVATE,"CLAUDIA, 90 KM FROM SINOP",1,2019,11,NOVEMBRO
9,2019-11-25 00:00:00,EMBRAER EMB-711T CORISCO,PT-NUY,PRIVATE,"NEAR PENÁPOLIS AIRPORT, SP (SDPN)",0,2019,11,NOVEMBRO
10,2019-11-17 00:00:00,VAN'S RV-10,PP-XRF,PRIVATE,"ELIAS FAUSTO, , SÃO PAULO",0,2019,11,NOVEMBRO
11,2019-11-17 00:00:00,BEECHCRAFT V35B BONANZA,PT-JQZ,PRIVATE,"ESPIGÃO AZUL, CASCAVEL, PR",4,2019,11,NOVEMBRO
12, 14-NOV-2019,CESSNA 550 CITATION II,PT-LTJ,PRIVATE,"MARAÚ-BARRA GRANDE AIRPORT, BA",5,2019,11,NOVEMBRO
13,31-OCT-2019,BEECHCRAFT A36 BONANZA,PP-CVJ,RODOVIO TRANSPORTES E LOGISTICA LTDA,"CAMPO DE MARTE AIRPORT (SBMT), SAO PAULO",0,2019,10,OUTUBRO
14,24-OCT-2019,"UNKNOWN AIRPLANE, LIGHT",,PRIVATE,"ASSIS BRASIL, ACRE",2,2019,10,OUTUBRO
15,21-OCT-2019,CIRRUS SR20 G2,PR-ETJ,HELICON TAXI AEREO LTDA.,"BELO HORIZONTE, MINAS GERAIS",4,2019,10,OUTUBRO
